Files are layed out as: NGSHumanfile NGSCastFile NGSCasealFile NGSFigFile
Substitute Motions are in win32reboot, unlike most NGS player files
The first two characters of each filename are the folder name

標準,Standard,000,b4\c09850bcb6a381bba7e620e38f3f18,6a\c6890a1bcdf54c7e23f22329ee0997,6d\eae3cb31f8ea0c8e4d1fadf8b9965b,82\f5bb64b6704f19ea8db5d027c5f4d2
腕組み,Crossed Arms,027,22\388eb0e8d0d1d685ee347459d0ae90,cc\81b3b542754adf9efaa3eda989f15b,79\ef0987b98c6132def264e714449d19,18\a636b17244572967c23460cf959089
お尻をおさえる,Pants on Fire,028,9f\be304da29d443a9192cb1afb9f6bd2,a6\28bb249fb2e14c2bb1b45b79b03245,d0\029f0c237819281d4264dc4e749b03,2c\8f5b98246185c2296a285a87b21358
翼を広げる,Wings Spread,029,39\a73607aef7e09e2f70ca5701433754,bd\dea7c04f3d409dce54662a946b53a4,69\4806c56619c2e840d0d39d4a444a8d,3d\2a65c11cc45200a9e8469658889cdd
[Unnamed 30],030,96\babcbc02ef9af6db6f1ca4a5c46b14,63\6270cd058deb5228537ccab882577d,d3\0eadb7871b3f2c1eadde5f2d70a977,63\4e16ab366e362d7c8820bddd3512ba
[Unnamed 31],031,dd\64fed185034129696ba443dc184a7d,a3\a55a2f9658552469064c0de7728cb7,ea\ce3593c80316187417ded1b6346b37,38\ca610f545f4ac7d86e56c8215b7925
[Unnamed 32],032,d6\3bc2ad924a08514506d086c1267060,06\a4e945d29d5e4c1306ad25f2a039e2,d1\42d5a530adae0554688d400a59c844,fe\a417ce84e533c8437f3d6fd56adae0
[Unnamed 33],033,6c\251655bae933e1b4d1381201bb94e4,69\4ad4e0e146742a91761d28dcdf8778,4e\2ff5b48f3ed51449e123536c7de9af,da\a56bd912fea58a3fe39d9533a54bcb
[Unnamed 34],034,ae\43ffab28d2fde90d507883c7104593,a7\fe1dab84b2506a5c30bd8440de7ec6,f3\6a90a966a20f74dc5de5d5137e489d,a1\1ad1719b7052d98f539fe38858419b
帯電,Charged,035,ac\eb1a13c5766a12759449ec1eb99456,70\a047da39ab53f11e349f60c57f6d0b,00\15df6556c664a88ec049590e48cb06,87\e3575caf05d708c0b490a2bf4afb19
[Unnamed 36],036,f5\b239759c4ed51cf8fbcd742541a360,b7\afe3320365d7a9eb463bfb0a7ad44b,4b\6b568160f4aa9187483cb0be5bbb1d,a8\e653f489a86e35f7e403fca74293fb
ふわふわ,Buoyant,037,50\6e58b84f4a5dded5ee0070d426dd48,7a\984d3391690d2b790ea9ac75e14992,3b\dc67de855e4137a5f207f01c9bbbc0,b3\375fc428ec1c10ef88ef08d46f4b87
軽やか,Lightweight,038,81\5fee47a0144e4a31659fba20dd3705,a8\4104ef49913f1a701600879eac5192,a8\7fd2474153b4b9c1545858b9514c89,1a\aeb8d1487ed1008ea07c383a41dd60
エアースライド,Air Slide,039,a5\4506b92785ed3a8a9b4c7bd7e6e4ae,6f\495cdbb18b728ce1bdc9f814b463e6,68\bfc81c3f35bbe16684fb0d9cf8de3a,73\41c347c8dd994b3db7a133cf1484fb
標準/B,Standard/B,040,18\0eddddcc00c7679efca60ae0758250,8d\01bdd81d6abd5f8a2992c58bb5b032,9b\02eab859fe0d7a2d194ef7e80f3139,99\53cbffab42a40df6be7d8d0923575e
フェアリー/B,Fairy/B,041,6d\78691525fca401f64e227556eb74f7,a0\608118016ad3e1026d3d2127cff1d1,b1\32137d7c0a86895e72e7a6803958db,df\ff3baf84dcc5d113c1a9a90930901c
ショートスキー,Short Ski,042,b0\946152d132be0eeb8fe8bb79b07848,33\fd15b6d0117b336405ca79050deed7,3a\fb6616b38ceabf2b6be2fbfe40c932,35\ec41fe283ae224dea537898e1778f6
傘をさす,Umbrella,043,24\ec9545800fae5b4b91626dfaedfab7,b6\17b1fe212a24b78ef671e7923d9099,ad\8dca876b8c1d57e9643e9e9bcf0048,29\96d5a900500da7a237de1f4cb44508
ワーキングロボット,Robot at Work,044,ab\76e377a21b8633088db5e5051a4f2f,96\d82265d087df0f18c9c798089eaf06,78\7f158006a15f8a838a5e0d997aa29c,71\a8eeac3e39398b2b0e8ed230bcd49b
ロングストライド,Long Stride,045,30\a51a9f463089b9de7fa3b0ee79da0c,78\c100ab7aeccc32d4007b163f3e2baf,25\8ff804cb1a67470ca1022b09f360d9,de\18ac4e6a9fc60ae9bf98760369eda4
標準/C,Standard/C,046,d3\520f5dacb1c37c13f40167a2b798b1,a7\bf5ca7055aa39f6da63e32ac9c993c,0c\3e3228497a3e130a75b13e6f0bf9e3,b9\15980b1e39f75d067174aa14dfc98c
ホバー/C,Hover/C,047,96\0defdcd20217f68e681d9bd476ae0f,59\3674446e55dbd3fa3030bbd63ed12b,35\d182848027a2c47cf4c29d813d5f16,4c\b43209ddcafb070aa0ba1a35e0212d
ホバー/B,Hover/B,048,77\c25c27f25fb4ac5cc9ed5b02aca607,81\5590aa7fb0ef58ff2116b652484820,6d\7fc4b1484b38e47cc5c9d8741c5e15,8d\f4f5b8d6e77076c2b6a6ccc03d08f0
チョッパー,Chopper,049,06\f90bf5fbd942556697d5951629d880,52\31e8364c8af671265367ccf8fae302,d1\cb99aa28a391337b0737961e28f942,e1\02dfb0c3745700f916fbe61780ce52
雲に乗る,Cloud Riding,050,74\133ea72b17054508f09e679e4c36eb,07\0227e6064db32df89d297e93c93046,ba\ae5dbe7aa785031000387fb8ed2693,67\51b312b150d51e67828264d0f30d1a
ニンジャ/B,Ninja/B,051,83\8ad855172a82f287a6e2f1a1028834,cd\844873e3d47c9ac3aed3c6c1df69ad,42\2362fb63e45819eb5ba0944401a9b3,93\dee484fce64d34eca7a96953b74310
フェアリー/Ｃ,Fairy/C,052,6a\b1992780d864264f5253948bf42256,2c\86acf3e2339a91d398e3b3f3793741,dd\491f702bbef125012fd8b751980a17,67\4709f0c78d6f60cfeb15efac32feef
[Unnamed 53],053,ea\3d2ce2147a784823501e3071243fad,c3\ff769d15f7010bfa637a52c66c7bcb,59\ceb73ae50d5cec3f183527145b273b,2f\e32b7395556d3ff830884c944e9cb1
セイバーデストラクション,Saber Destruction,054,bd\5ad7a396e096ace14bc10238e083a1,b8\8754b0e3b6baf93667b71947fddb8b,4d\9322f194ea50f1b49a20c7e6aa9153,21\656f467a2f10bc649f6fe4e485f362
腕組み浮遊,Floating with Arms Crossed,055,a7\c3fb3ddbcbf5b8062183689f53cacb,3e\c343e3d51015a743ed3ed2f1e02ed5,3b\b467846ed0421b444e907570ca4ade,14\0acd3ba83d2925a18d20dd514eeb0e
カジキライダー,Marlin Rider,056,ec\f1d76a2339f65d98aa376afa83fe6f,12\43f110fab18ae8282d141d19b0db51,1d\e8dce9afc432e366c4913fd8e1ce39,30\c0e824aeda9496761071b6f6ba8dd7
ニンジャ/C,Ninja/C,057,fe\ed1da006487e0f8b577440084dd37e,b7\a41831962ee2314e1f5459d4259304,ed\77b90debc89bfdb2dae33582a07a4b,cd\5c2c92a88e1cd08dfe7548c222bb11
スキップ/B,Long Leap/B,058,52\d0a6bcfdb8652138cd77e263252245,50\bd265453efe95a9aa321b350d9967b,53\9f553cde16e448b53213a1abd834ca,fe\c89966b1c8972a6e97b357ccb7acf6
箒に乗る,Witch Chair,059,13\563f97e4a91a77f943d4e8d56e62da,b9\db2582e0b23ced4d033246ab68aa62,59\26c7ec080d1150071de1b12b5d7914,99\89a35b79f35248e273244a33360e63
アルクェイド,Arcueid,060,b2\f52b9bde36d5306af1e782b8159990,a4\5571f2779fd760980b72b1fec5a8d5,06\e5a0c25fb268bd1ae07b83a22e67b6,88\5d8fdabd87771e70499a27425d7c9a
[Unnamed 61],061,5f\b0a499cae68b7165d6857d84abe3b5,26\bb271b774f58dea753f61600527548,24\5bed811acc3da021efd5612afe42ed,dc\69edc738182c896cf1ff9585eef314
標準2,Standard 2,062,2a\680dae893e742c28a1ce7fe08df6d5,2c\befaa12a8629e0ffb3033167e30a2b,24\4def1acbaaf4cfe7003ba1f5f32594,49\2a6e9f39e9851f3b4f11632997ba74
雪そり/B,Sledding/B,063,85\b32e39176a2b707f517c970c656e74,cd\c7d78ffebd758e506431f4e1c15a34,7a\26d2fa9c7c359bccdeb3d15aca4b99,c8\290983d99b458210d98afe7b3f24f8
獣/B,Wild/B,064,36\95531aa6bc082ab38dd0ecaf34f9da,38\4cfa167f16be2423df80710ac8047f,0f\417a3c58b6f2afa99cc1443c8ce456,2f\a5f3ae433056ab67f9334f1b709223
[Unnamed 65],065,b4\6adaf7865e779f2f6e79b8f2dfeb65,3f\8a533397204d46e928a537e712ba64,0b\761f4f41e81d768aa7a7c0a67c7399,8a\e628e6372a4972256b4c66da03df99
プロペラエンジン,Propeller Engine,066,d5\42079299c99dc579d66d85cfe46fa5,26\34ef6a018b2a01ee78de4e8c061547,ed\b7f06303eb4003101bc0430689dd90,fd\25b2f0a42a2ed59bad6d536ee9adae
ホイール,Wheel,067,cb\21f9ecc861e597ac0b327f96345334,bb\5414a6ee27d9e652fb47cc3c390f9b,f8\aa99741ca7ab313e0ace076f10b7f8,3c\812f88d65a5ac19aef3e31aac33dba
翼を広げる/B,Wings Spread/B,068,03\bcfefd05aa40b6f98542d9630fc2e9,a5\c9c2f75a9cc9e37e892a9aa76e0a66,8c\1de02246aee2cc1cb230b1c9985455,50\4fc189a35ce295783326a6a7c6b011
スケート/B,Skate/B,069,cc\7ebe2e39a4c9916ce4a6e368aa134a,09\1c81401afde2c8cb7197dff2ea00e4,e0\98c0cae8cb5b00bfbe0ef3609d891d,34\854d8c2f29691137f46a3b12928db6
カジキライダーEX,Marlin Rider EX,070,b3\8c31a4bc139bc3cfc36562ac798461,ad\91666b2c08f0ccd29de6041e9ae995,57\69982ef268606447ff325e6a5cf37f,09\ee6c03ab546383d75bd4c70fd017b5
腕組み浮遊EX,Floating with Arms Crossed EX,071,dc\b4629070f5677a0c5162da080ea2f5,97\755bb71a5272565e4b07756f2365ca,8f\b32271c3d34ec81729923402d59113,c8\3f0a7a9918285709c8ab155c15abae
火炎EX,Fire Mage EX,072,77\1a7a05c13952095d98baef98f838bb,97\3fa9b878ba41d03a8401e0965b297b,ef\802b1a7683d7bb409b5e9e96812cc9,d5\49d2c4d5c2e7ec1785f6b4aa01572c
フロートスケート,Floating Skates,073,6f\ac1644fb69b370681a08302ba922c3,91\9c83095e0ddcce4d07b001f439f15c,e1\a9b27fc02b6cd38a3e535dd2a432eb,58\2a68635d90ee4caa5acc30a487893d
影泳,Shadowswim,074,0f\f93aa49b27f2ffcec3bbf88bd0533b,c3\e8d561818dc56c896c00a621d48321,f1\d8b3e176968bce9663bfb70892c274,ad\7cefeed2ecf042caa7fb897c28ad69
側転,Cartwheel,075,26\7d129daff31a4ebb29109e382dc864,4f\1405d85c110b3d247e155e6373391c,b6\2ec77ccd9be81388d82dadee7f20bd,e0\9e9b1f7c02e9a0f2d8859d4b97c36f
フロートスケートEX,Floating Skates EX,076,96\c9ac8d7250eb7ca184a9e09b76444b,3d\4b241cb4b54078695b24654de0772c,86\86ab1689c9669da74b8eec19918592,2e\d9bf9b8ff20d39c586c1602cc04886
お尻をおさえるEX,Pants on Fire EX,077,f2\2d50432c25b0e23735d37ec4e03385,20\ee636437970aa9e30351c9bdab85d2,53\fd789ed7a43b62da4ba28f83ed1017,6c\4d72d4cbf9418457696d59e65590cd
影泳EX,Shadowswim EX,078,9c\626387e9c5a031b46da7f1f5acf45e,0c\0890677053109c9c6af858fac81967,ad\383e7e0971f954c040d234e4bcd1e3,d9\1e4bc2af8da43be083069fc0900453
スキップ/C,Long Leap/C,079,d1\4a439d084a7d8f7cf2f7734d1a154a,58\e400f2a55d699aa45816d628f21cf2,f9\4df9024038cf468ef3fbfa1a0fa0be,1c\17aedd29665f4397c66a6cec28064e
スケート/C,Skate/C,080,80\5dc036b3eb11f6cd1ebed68fd4d7fa,00\10f877cd860ca5ca77a4c30696e128,56\777859c8755f010f774b9394b04baa,5f\955c28cddaf93277a93b6aae4e00c4
箒に乗るEX,Witch Chair EX,081,55\2681d3a44c3de75497900ca5fc16a6,a7\7079e6d9d1878646a2c6986f7d59f5,c3\38385be54b845b32c6047dbfaa96f8,fa\337c1313bc9e0bc21cb2172f3c144d
プロペラエンジンEX,Propeller Engine EX,082,d1\07e73343dd3dde2a807d08ecec54f2,1e\101a783ee6858cc7d2b2f7bb8a82d3,ed\b6c18c314cfe30f64363715f1f7d73,9f\045712b10e166e242f29b3371ca33b
ホイールEX,Wheel EX,083,9c\3da475fbac4daefeee507a8065161d,70\456c69bafe16f18db516a9c5390e7b,ef\92a9c4bc0a352cd41057d8a909b71f,6e\083daa7befb64bcab9b53914ab1977
ジェットパック,Jet Pack,084,46\900fdb680ce1385b323a5db8f3c0c2,85\cad340e4d869f9cecf2a6e77c2ede1,b8\39eb3aa6affdbc275138bda01eae7d,30\2a56d9afc5f8fde66e6fd867b36f19
側転EX,Cartwheel EX,085,7b\555bc8d6a7a08a7d3647146c7e06b3,e6\1bbe7ca2f157b69ddfd4dea492c371,57\a39dfcf7229ef17544c7f976a004c6,fc\cb3de159470de425dae3cc2a16d806
ジェットフレイム,Jet Boost,086,1a\92071f222db2c288b6b52b693fac2d,f9\9f8fa3b1246cd3bbac6f87832953f6,d4\560a68483b7ae3bf1c66cf7bbf1874,6f\4a695e2e1f24b2420c9a78879f290f
エアファイター,Air Fighter,087,c8\633679db358a5973c0b30bc38c1c2b,c5\f5dd9527eff82bdc89a94422d572b7,8c\77df19b872d98e4f99113c1c6aee0d,66\637d6171fe595b1bc336faced793a3
魔法の絨毯,Magic Carpet,088,bd\46f3ae1360fbe528bba95e341908e3,fa\cd740a5f19566a9dfee0e6fcf0a218,23\adfbb8dd5da9965eb0e22bd2f984d3,91\6dc857973af3cb8defcd6d530d43ed
コウモリ,Bat,089,ca\81faee1c46455d546150cb80382234,eb\c828983423f6106eaa2d22ac53e47a,34\6d73d69a7e3b6f62de58a063f46d16,4d\32fd8bf9ab287ca7db408cf6742387
スライディング,Sliding,090,03\a55575b255c270cd1abff48a4c8059,53\6d974b78e0d3a5a26117a18162373d,8f\ea128436bab89c2280b6900865a522,c2\0d72d542723b3049b61654e823f61c
エアボード/B,Airboard/B,091,ba\d39c4725d9ee887315cca3612cefd3,25\738d45e3f11185bc8540d0688cd219,13\8fd5c8fc1b70ec579f8c180e939655,1b\f2185f14cafb21e35d789439882e76
翼を広げる/Ｃ,Wings Spread/C,092,6d\ffc98895dc4058412478db340d26dc,1f\7083d26d49b0142631fa47b4794b03,02\36747ad82a868bbb1b9490a72c1c25,6e\069e0068b7d143002ca8625355c9f6
エアファイターEX,Air Fighter EX,093,92\b964a71455b54444cce6981b672cc6,a1\0a89d8b1363f871713a2697da7488d,49\ab1cd981ca25e2331af315f33f7266,0f\a21db14246cc7acacffd21fd70113e
魔法の絨毯EX,Magic Carpet EX,094,e0\460c33f43045c496f807f868b06f4a,b3\205aee273264e52be9456b2bdd23ac,d6\69e580c265fc899c9928f7d07274e0,98\aa69f83e0bc97e09f36973bd451717
コウモリEX,Bat EX,095,35\2517ad2f349bed486dc52a6894267e,9e\00abd677dc4b013fe106a8b6837bc7,54\ec61cff29413f27dd363caeaf9603d,65\2208d8810260b08c127cb167cef278
スライディングEX,Sliding EX,096,62\8f05b6e8660114239932f5bfcff140,61\00fe054ba0a65d1adbafaafad2a403,4f\b8fc1b3010a6d9cc01ee5aa8321a13,ea\6aef87814f982fee7b422fd95dbe43
ふわふわ/B,Buoyant/B,097,cd\cab45fe325822aad0dee049a0207f0,7d\d5ce35e9b5e1f08f921f33e34c893f,4a\f04307e69e183d867bb2acb7fae295,37\bd470624b6592c87360268b9f03323
側転Rev,Cartwheel Rev,098,09\0b180f9ef9d803eefdef01f3060046,c7\d06a162e454055b70d26a4453bfa90,dd\b826bde97cdf3c53dc54a8b18c6d63,84\8c7b58c0b3a2bb57ad0018ce9c6985
側転EX-Rev,Cartwheel EX Rev,099,cd\0e869402f12371ed653787c48376b1,18\b6be634484fef2e074a5d60d704d38,b0\889a54291bbe11b179e4d8f9c02f7f,5a\641a616b52e2d6611739accf62f457
ドローンに乗る,Riding a Drone,100,74\bf50c34ad9158f90d501b63ca884a3,77\3b9e71cd48cd14b465e53bbcd73d80,10\2fb3797c9a1aab48c2e91cfcea48c0,e8\7196b5dde1fb726ece3d980af52f49
光翼,Angelic,102,c2\b36ddc0c65887e304c0c03cbdc8e20,b3\9ae170ed977ff0242554330732e32a,f0\269f15accd9aed53d2f84771d7a9ec,c2\1c3cca61d1018997afa6032ecb65bf
スライドダッシュ,Slide Dash,103,36\55837ed3622b6797df782b17048e0f,80\5f52debf3cb4031cd24dd2f297e93b,41\9a2bad1e91139400ba6c221af0188e,82\d80d94173d0859a39b3461b7d9e327
風を切る/B,I'm Flying!/B,104,d0\7afb6170487a564ced657f89c65d20,b8\26a3f36def96cab08153cdab6c67e0,4c\63f0180b81d48bb121b06d72bbe0f3,ab\135328dc8fa3f581817cc4f616eff5
宙を泳ぐEX,Swimming Through Space EX,105,9f\678360653b947a7a8d9a49fc41553c,1c\d211359336b65c5995ddf01d78d4a5,83\11a8f32aec1918671cd807cb2d4c89,17\09d12bef1c2f41c2932a0bf91bd943
光翼EX,Angelic EX,106,b7\9babdf45cd7d2b749a620d21e2c182,0a\a35f7cd0a47efd40d1bca648f67aa0,04\cbae52f6ea3f7efce7c323b3072240,d5\5c5a446a6d60c6bb90ffc34896cf7f
ドローンに乗るEX,Riding a Drone EX,107,8a\c8eb54df54088d5e3dad0004f66e7a,61\65038e13e72f3dc7523af8d4328eee,49\70ed18f91edcfbafad8084d4fc573a,0b\cddc2ea5b70b848de943b4ee81cfbd
スライドダッシュEX,Slide Dash EX,108,f4\25d218e23a9f40c33f4a7f58e423af,15\459c5abd6096e3076efc36d8eba942,9a\5eaeffc59c671bf2ac54922feca3d5,3d\45c818fcd460b58ed4c9f95422408c
[Unnamed 109],109,ed\26192e1d6e0dd8cfc8ffb466a7df9c,1f\35c9bf20c939eb8874bc948b377a24,ba\322dabbf2f80fb31a7dd95bf7a2de4,7c\7cc193f81b99b704820cd70bae8f28
