Japanese Name,English Name,Chat Command,Reboot Human,Reboot Human Hash,Reboot Cast Male,Reboot Cast Male Hash,Reboot Cast Female,Reboot Cast Female Hash,Reboot Fig,Reboot Fig Hash,Reboot VFX,Reboot VFX Hash,Gender (Blank usually follows previous)
らくがき,Graffiti,graffiti,character/motion/lobby_action/pl_la_946_graffiti_m_std.ice,34\463a6831362afb69b35d42a732f5ed,character/motion/lobby_action/pl_la_946_graffiti_m_cam.ice,c9\02462708eef7376e09ec6002794617,character/motion/lobby_action/pl_la_946_graffiti_m_caf.ice,b0\635a87772bbb27ca573d04a64db6f0,character/motion/lobby_action/pl_la_946_graffiti_m_base.ice,4b\5016e0ddd6f42ccab3c6b4a3420725,character/motion/lobby_action/pl_la_946_graffiti_m_vfx.ice,90\8b5cacd9a1d77887a562e6783e19e5,
らくがき,Graffiti,,character/motion/lobby_action/pl_la_946_graffiti_f_std.ice,a1\7106d4d2dd63a81fc4d72302c07a64,character/motion/lobby_action/pl_la_946_graffiti_f_cam.ice,85\9726022ca0a7ed7d8b78f967f3a31e,character/motion/lobby_action/pl_la_946_graffiti_f_caf.ice,32\aa094421471c901a6abb771f3f0a43,character/motion/lobby_action/pl_la_946_graffiti_f_base.ice,ab\28b41f3ce9e4217d4e0a73d9d4f9e5,character/motion/lobby_action/pl_la_946_graffiti_f_vfx.ice,01\45c2f76627051b90a7fdba09cef063,
礼４,Thank 4,bow4,character/motion/lobby_action/pl_la_953_953sonkei_m_std.ice,b0\6b454a6d679e7f16874d8f8ea93047,character/motion/lobby_action/pl_la_953_953sonkei_m_cam.ice,aa\62efad987f2a74c89cc169682f3a23,character/motion/lobby_action/pl_la_953_953sonkei_m_caf.ice,8f\1e75ab9145dcd878738a13c3a0e0cd,character/motion/lobby_action/pl_la_953_953sonkei_m_base.ice,5a\72ff98e38d225245b9c457081ff81e,character/motion/lobby_action/,,
礼４,Thank 4,,character/motion/lobby_action/pl_la_953_953sonkei_f_std.ice,73\16e8c4f0281067c8c6a56c38f2a9f3,character/motion/lobby_action/pl_la_953_953sonkei_f_cam.ice,5c\c9cd66c09b8f58055da7b44953e6a1,character/motion/lobby_action/pl_la_953_953sonkei_f_caf.ice,3e\69981778f4c1814f9d8ede7c966f2a,character/motion/lobby_action/pl_la_953_953sonkei_f_base.ice,58\997d26bf5b4e5e874f949e3615784d,character/motion/lobby_action/,,
座る８,Sit 8,sit8,character/motion/lobby_action/pl_la_947_947sit_m_std.ice,ca\5299f896cd8e774902bd6ccc39de64,character/motion/lobby_action/pl_la_947_947sit_m_cam.ice,7e\ecf79adb4d51d825045a7cee87cf50,character/motion/lobby_action/pl_la_947_947sit_m_caf.ice,9f\83c718f291b9e4a5a71495062a322b,character/motion/lobby_action/pl_la_947_947sit_m_base.ice,c2\a31b910c879f11676c0895b873ee30,character/motion/lobby_action/,,
座る８,Sit 8,,character/motion/lobby_action/pl_la_947_947sit_f_std.ice,6d\1172aa417e59fee2528a4a76bb103d,character/motion/lobby_action/pl_la_947_947sit_f_cam.ice,0a\b7b3cd1f708e14930ffa1bfbb28ead,character/motion/lobby_action/pl_la_947_947sit_f_caf.ice,56\b06b5ef05c4cdaad103373a6d55126,character/motion/lobby_action/pl_la_947_947sit_f_base.ice,92\88a6ab9000890e799a2c790776dd86,character/motion/lobby_action/,,
迫りくる恐怖,Tremble,loomingfear,character/motion/lobby_action/pl_la_954_954hurue_m_std.ice,49\15916dfb37682feb207ea2094e8cca,character/motion/lobby_action/pl_la_954_954hurue_m_cam.ice,0a\902525aa138f509f78aaad07d259ec,character/motion/lobby_action/pl_la_954_954hurue_m_caf.ice,a7\c44ac235bfbb10d4ada98f422ce259,character/motion/lobby_action/pl_la_954_954hurue_m_base.ice,7d\f47547d7b9ad1bd7321050500dc13f,character/motion/lobby_action/,,
迫りくる恐怖,Tremble,,character/motion/lobby_action/pl_la_954_954hurue_f_std.ice,d0\50e114037e96f03e94c8a67ff75f08,character/motion/lobby_action/pl_la_954_954hurue_f_cam.ice,ea\d16627fbe4d3973050a4ecdabcaddb,character/motion/lobby_action/pl_la_954_954hurue_f_caf.ice,89\4f10909f68ee20d1ec4fb06501bc9e,character/motion/lobby_action/pl_la_954_954hurue_f_base.ice,55\d23f7ef059f727c4b68b82ddc53be7,character/motion/lobby_action/,,
Intel,Intel,Intel,character/motion/lobby_action/pl_la_2076_pccollabo_m_std.ice,cd\0d4ddc90352abb8c7735c68b82ad8d,character/motion/lobby_action/pl_la_2076_pccollabo_m_cam.ice,3c\d6fab982406e6f32f37a773f75c65a,character/motion/lobby_action/pl_la_2076_pccollabo_m_caf.ice,30\909f5506fda37f63d37f666785474c,character/motion/lobby_action/pl_la_2076_pccollabo_m_base.ice,34\47214633df9f74781659efe5d347ab,character/motion/lobby_action/pl_la_2076_pccollabo_f_vfx.ice,70\c7751465ee23860bf46bf641e7d33c,
Intel,Intel,,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi1_std.ice,69\afa27569c72a3880564f186491ad47,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi1_cam.ice,22\3bb3197398c63dc28fa4e1a4e3b403,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi1_caf.ice,c1\2f85df9a2c0ea5f1d116f7405b967c,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi1_base.ice,61\fb64eca18dccd736cb1de6514a2fe8,character/motion/lobby_action/pl_la_2076_pccollabo_f_vfx.ice,70\c7751465ee23860bf46bf641e7d33c,
Intel,Intel,,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi2_std.ice,ff\2204b8c3569bc07a0cea590d38dabf,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi2_cam.ice,33\0548b10408a2a35ff462e753af317b,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi2_caf.ice,77\e5f44629bc43b015f9bb4872c660dc,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi2_base.ice,8e\29d4de31e3c566535e4c2f0b64ba0f,character/motion/lobby_action/pl_la_2076_pccollabo_f_vfx.ice,70\c7751465ee23860bf46bf641e7d33c,
Intel,Intel,,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi3_std.ice,7f\fb393baa1b7524441fc39bc9d9db11,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi3_cam.ice,e9\f47b12380ea5a297a8d371563397bb,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi3_caf.ice,b3\982a4a95b6c52912163b7a7f70437e,character/motion/lobby_action/pl_la_2076_pccollabo_m_hsi3_base.ice,1b\af64cbf1826ce3967d910f0d60ddaf,character/motion/lobby_action/pl_la_2076_pccollabo_f_vfx.ice,70\c7751465ee23860bf46bf641e7d33c,
Intel,Intel,,character/motion/lobby_action/pl_la_2076_pccollabo_f_std.ice,26\b3087e52d8735103d0b80dca63edf2,character/motion/lobby_action/pl_la_2076_pccollabo_f_cam.ice,42\5bef599c771490df5a541e8d90ee2e,character/motion/lobby_action/pl_la_2076_pccollabo_f_caf.ice,0f\0f8b501c5f1cd7451a0d7274ac86a1,character/motion/lobby_action/pl_la_2076_pccollabo_f_base.ice,34\ec43018185381ee6b8998957b2edcb,character/motion/lobby_action/pl_la_2076_pccollabo_f_vfx.ice,70\c7751465ee23860bf46bf641e7d33c,
Intel,Intel,,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi1_std.ice,2b\0d01624acc28f4bbceead93957056b,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi1_cam.ice,5e\d0495e5fcdcf6372d4ffa80d6a485b,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi1_caf.ice,59\15e785cc3af12410b918e662d12859,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi1_base.ice,26\63c532beb5ed386f2a1616634f7f17,character/motion/lobby_action/pl_la_2076_pccollabo_f_vfx.ice,70\c7751465ee23860bf46bf641e7d33c,
Intel,Intel,,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi2_std.ice,ab\85a6f1763578d66c567ba837bfea70,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi2_cam.ice,62\d49e1035a548f5d024dc3b6bff1720,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi2_caf.ice,46\27b106168bb383746a6b35dd81c8e2,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi2_base.ice,bc\0e6af7f25e7b4ce87da7abf8559ec5,character/motion/lobby_action/pl_la_2076_pccollabo_f_vfx.ice,70\c7751465ee23860bf46bf641e7d33c,
Intel,Intel,,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi3_std.ice,32\bbfdd462b93965fa3e9bdaae9598d1,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi3_cam.ice,8e\3659d7ac357b72fbeb1ab848f4b895,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi3_caf.ice,1d\b522dfb21be97522fbd4a37bb6929a,character/motion/lobby_action/pl_la_2076_pccollabo_f_hsi3_base.ice,35\63767eef37c13447c24f1425f60ae2,character/motion/lobby_action/pl_la_2076_pccollabo_f_vfx.ice,70\c7751465ee23860bf46bf641e7d33c,
しゃがむ３,Crouch 3,crouch3,character/motion/lobby_action/pl_la_936_sitpiece_m_std.ice,da\026c07b2043f795203f06d2ac836e0,character/motion/lobby_action/pl_la_936_sitpiece_m_cam.ice,1b\eceed1ae58fa679f722620e2b4834e,character/motion/lobby_action/pl_la_936_sitpiece_m_caf.ice,49\80de3302f48ec1a0d37bf57c439ecc,character/motion/lobby_action/pl_la_936_sitpiece_m_base.ice,38\9d2aa59f72927ab665b13ad9d24a88,character/motion/lobby_action/,,
しゃがむ３,Crouch 3,,character/motion/lobby_action/pl_la_936_sitpiece_m_hsi1_std.ice,1f\f802c9f43dc7f0123f7480a716fe3d,character/motion/lobby_action/pl_la_936_sitpiece_m_hsi1_cam.ice,6c\a2a92fb2ab0833ccd58dde9c3c882e,character/motion/lobby_action/pl_la_936_sitpiece_m_hsi1_caf.ice,f1\35c7c38c7a0ce52342f67b2a79644a,character/motion/lobby_action/pl_la_936_sitpiece_m_hsi1_base.ice,a5\ba0b8108c78afc0a8f83039afdf111,character/motion/lobby_action/,,
しゃがむ３,Crouch 3,,character/motion/lobby_action/pl_la_936_sitpiece_f_std.ice,60\38f0305f820bfd9ef2404dff946ed1,character/motion/lobby_action/pl_la_936_sitpiece_f_cam.ice,bc\12ee60fb58e2ed793b44d0e767718f,character/motion/lobby_action/pl_la_936_sitpiece_f_caf.ice,46\c660d657c5f37da425a15eabf1f157,character/motion/lobby_action/pl_la_936_sitpiece_f_base.ice,b7\594c231a1ec233c7de6087868be557,character/motion/lobby_action/,,
しゃがむ３,Crouch 3,,character/motion/lobby_action/pl_la_936_sitpiece_f_hsi1_std.ice,ed\29c689008615a466c87963cbbc1661,character/motion/lobby_action/pl_la_936_sitpiece_f_hsi1_cam.ice,20\15d484095918017923e5455c5e61e1,character/motion/lobby_action/pl_la_936_sitpiece_f_hsi1_caf.ice,3a\2d5189b3c9dcbcdc98e4674c26ea62,character/motion/lobby_action/pl_la_936_sitpiece_f_hsi1_base.ice,bc\94038445447711694dd38dbfe849ef,character/motion/lobby_action/,,
グー,Rock,clenchedfist_l,character/motion/lobby_action/pl_la_968_fgoo_l_m_std.ice,51\dc389a3abdfe81198fc48bf5ed3f17,character/motion/lobby_action/pl_la_968_fgoo_l_m_cam.ice,fc\50c616cfc5f745e9c358b88c93d5a0,character/motion/lobby_action/pl_la_968_fgoo_l_m_caf.ice,30\95f3f554a8891e2a86e28e7b343559,character/motion/lobby_action/pl_la_968_fgoo_l_m_base.ice,2a\3f9af5f0dde589d17c41ae27e61627,character/motion/lobby_action/,,Male
グー,Rock,,character/motion/lobby_action/pl_la_968_fgoo_l_f_std.ice,e6\f871bc5819940047bce8b2d3d83b44,character/motion/lobby_action/pl_la_968_fgoo_l_f_cam.ice,b7\3622805e26cfb11dbf9ac4efe2e594,character/motion/lobby_action/pl_la_968_fgoo_l_f_caf.ice,46\311bdbceeccf30526c3185c7771c28,character/motion/lobby_action/pl_la_968_fgoo_l_f_base.ice,2d\beb2bd658650c8ac5342f5d7e446a3,character/motion/lobby_action/,,Female
グー,Rock,clenchedfist_r,character/motion/lobby_action/pl_la_968_fgoo_r_m_std.ice,e7\4a3f143bc9dbe030af7558d4022a93,character/motion/lobby_action/pl_la_968_fgoo_r_m_cam.ice,82\d8dc4519cd887e75302f075ce31d9a,character/motion/lobby_action/pl_la_968_fgoo_r_m_caf.ice,df\32b5283960c495424fd8addf5cda54,character/motion/lobby_action/pl_la_968_fgoo_r_m_base.ice,44\e52316685469cc1e10ccc5c83e7cf4,character/motion/lobby_action/,,Male
グー,Rock,,character/motion/lobby_action/pl_la_968_fgoo_r_f_std.ice,1b\2679e547552e442d0a057f05aa3e49,character/motion/lobby_action/pl_la_968_fgoo_r_f_cam.ice,4c\2ea697df7d08ff6b36c703e8f4165b,character/motion/lobby_action/pl_la_968_fgoo_r_f_caf.ice,5b\ab90145ca015dc77a095d83fe71140,character/motion/lobby_action/pl_la_968_fgoo_r_f_base.ice,82\47fc6910aad4460191eb390e84e81f,character/motion/lobby_action/,,Female
親指,Thumbs Up,thumbsup_l,character/motion/lobby_action/pl_la_969_foyayubi_l_m_std.ice,3f\1ac46bb41a9b543ece7e05f3f52234,character/motion/lobby_action/pl_la_969_foyayubi_l_m_cam.ice,ed\bb4704fe7794e8a4ea2b0c1ea17f9c,character/motion/lobby_action/pl_la_969_foyayubi_l_m_caf.ice,d6\8c79f75830ef7184f0ca5dc2d00aaa,character/motion/lobby_action/pl_la_969_foyayubi_l_m_base.ice,3c\48bc2ad247c5eeb4cbf5c4261d0a01,character/motion/lobby_action/,,Male
親指,Thumbs Up,,character/motion/lobby_action/pl_la_969_foyayubi_l_f_std.ice,df\679ee0e7908bbc44cecc60c7a43627,character/motion/lobby_action/pl_la_969_foyayubi_l_f_cam.ice,c7\0f10c313821ae75c1ab2c3b9639dbd,character/motion/lobby_action/pl_la_969_foyayubi_l_f_caf.ice,f6\560935738df0a55988ab5a73e94a1d,character/motion/lobby_action/pl_la_969_foyayubi_l_f_base.ice,5a\c3af085e4d365ef3469b25ceffce8f,character/motion/lobby_action/,,Female
親指,Thumbs Up,thumbsup_r,character/motion/lobby_action/pl_la_969_foyayubi_r_m_std.ice,2b\c3831c410d819dda75e6f14cb965d1,character/motion/lobby_action/pl_la_969_foyayubi_r_m_cam.ice,16\99e059730db8ed391ca4dc5ef96c56,character/motion/lobby_action/pl_la_969_foyayubi_r_m_caf.ice,98\d008483292924968c76368580dc80a,character/motion/lobby_action/pl_la_969_foyayubi_r_m_base.ice,11\7ec66ca4096cd407ebe06570786ea6,character/motion/lobby_action/,,Male
親指,Thumbs Up,,character/motion/lobby_action/pl_la_969_foyayubi_r_f_std.ice,bb\8c28e0445a1390742c4015322874c4,character/motion/lobby_action/pl_la_969_foyayubi_r_f_cam.ice,a9\f3bd3240492dcda436a8f773f2704f,character/motion/lobby_action/pl_la_969_foyayubi_r_f_caf.ice,e0\5ef5e1177e6a48e8f82955df010130,character/motion/lobby_action/pl_la_969_foyayubi_r_f_base.ice,ef\0a980fe46ff15279c7a7793121a712,character/motion/lobby_action/,,Female
人差し指,Pointer Up,raiseindexfinger_l,character/motion/lobby_action/pl_la_970_fhitosashi_l_m_std.ice,9c\b28e28e6ed3ed2bfd6621d9b0a44f5,character/motion/lobby_action/pl_la_970_fhitosashi_l_m_cam.ice,ee\c6621e1aaaf992c8a4de790845d2dc,character/motion/lobby_action/pl_la_970_fhitosashi_l_m_caf.ice,bc\88950ff2246e624d78ad2f52c99d5a,character/motion/lobby_action/pl_la_970_fhitosashi_l_m_base.ice,6f\9dc5eefb7dd9f326c804e659fd9a04,character/motion/lobby_action/,,Male
人差し指,Pointer Up,,character/motion/lobby_action/pl_la_970_fhitosashi_l_f_std.ice,06\f8057c618a20cbfe7baf17a54123e4,character/motion/lobby_action/pl_la_970_fhitosashi_l_f_cam.ice,b8\331bd99df8512f763450cdededcdac,character/motion/lobby_action/pl_la_970_fhitosashi_l_f_caf.ice,80\121acd9eff9587a1fdcb66a0129e01,character/motion/lobby_action/pl_la_970_fhitosashi_l_f_base.ice,29\688e63885ca5d7790cfcd929c648a3,character/motion/lobby_action/,,Female
人差し指,Pointer Up,raiseindexfinger_r,character/motion/lobby_action/pl_la_970_fhitosashi_r_m_std.ice,db\043d9f1a6fc3b86db5aa984b5635cb,character/motion/lobby_action/pl_la_970_fhitosashi_r_m_cam.ice,98\8b63f44bf3fb15ff95060c9f11e3c8,character/motion/lobby_action/pl_la_970_fhitosashi_r_m_caf.ice,0e\e7582eae0aee1f4285aa3e7e78665f,character/motion/lobby_action/pl_la_970_fhitosashi_r_m_base.ice,7e\327f6310ceac1c15e07242cc19b5d9,character/motion/lobby_action/,,Male
人差し指,Pointer Up,,character/motion/lobby_action/pl_la_970_fhitosashi_r_f_std.ice,ed\4cb192f7776a4f939d5466bee5dd1c,character/motion/lobby_action/pl_la_970_fhitosashi_r_f_cam.ice,29\23983f6837805d16b288d32a11d540,character/motion/lobby_action/pl_la_970_fhitosashi_r_f_caf.ice,1f\aef257c14d23f900a2bbbda34b4841,character/motion/lobby_action/pl_la_970_fhitosashi_r_f_base.ice,22\df1f7ee585b518fcb7388bec582784,character/motion/lobby_action/,,Female
小指,Pinky Up,raiselittlefinger_l,character/motion/lobby_action/pl_la_971_fkoyubi_l_m_std.ice,3d\d779721eb3ef2fac2f56a94038133d,character/motion/lobby_action/pl_la_971_fkoyubi_l_m_cam.ice,49\bbd57045e07507d309b1b58ed8774c,character/motion/lobby_action/pl_la_971_fkoyubi_l_m_caf.ice,6d\d7900ace6997acbb054c965fdbaec0,character/motion/lobby_action/pl_la_971_fkoyubi_l_m_base.ice,43\e3b25c36b61cf123d70839414875cb,character/motion/lobby_action/,,Male
小指,Pinky Up,,character/motion/lobby_action/pl_la_971_fkoyubi_l_f_std.ice,49\568275bc3e193831edde462ad753be,character/motion/lobby_action/pl_la_971_fkoyubi_l_f_cam.ice,fe\39feab8cf097e0ed66425953525b06,character/motion/lobby_action/pl_la_971_fkoyubi_l_f_caf.ice,56\c2b5736e447e386b6f47387db8cc69,character/motion/lobby_action/pl_la_971_fkoyubi_l_f_base.ice,b0\61c1d40ba4fb29d5bd28e8c36fb25b,character/motion/lobby_action/,,Female
小指,Pinky Up,raiselittlefinger_r,character/motion/lobby_action/pl_la_971_fkoyubi_r_m_std.ice,a8\c62d981fcfb0fc06c047ba5c76f686,character/motion/lobby_action/pl_la_971_fkoyubi_r_m_cam.ice,06\d1763fefffb190ee0b4ec47700bd09,character/motion/lobby_action/pl_la_971_fkoyubi_r_m_caf.ice,ef\d484a49dda3195a1e6a7685b8d341b,character/motion/lobby_action/pl_la_971_fkoyubi_r_m_base.ice,7f\5353b1a4a10c105c675304cb56b42e,character/motion/lobby_action/,,Male
