JP Name,EN Name,Chat Command,PSO2 File,PSO2 Hash,Reboot Human,Reboot Human Hash,Reboot Cast Male, Reboot Cast Male Hash,Reboot Cast Female,Reboot Cast Female Hash,Reboot Fig,Reboot Fig Hash,PSO2 VFX,PSO2 VFX Hash,Reboot VFX,Reboot VFX Hash,Gender (Blank usually follows previous)
フォトンチェア黄,Photon Chair (Yellow),chair_yellowboze,actor/lobby_action/pl_la_ex_public_chair_yellow.ice,bc32d480909c3e81007f1eb6a4792d84,character/motion/lobby_action/pl_la_ex_public_chair_yellow_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_yellow_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_yellow_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_yellow_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア白,Photon Chair (White),chair_whitill,actor/lobby_action/pl_la_ex_public_chair_whiti.ice,c4893679054e542a73adb1f6b1abc837,character/motion/lobby_action/pl_la_ex_public_chair_whiti_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_whiti_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_whiti_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_whiti_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア金,Photon Chair (Gold),chair_goldnum,actor/lobby_action/pl_la_ex_public_chair_gold.ice,5fb57ce0fe6530c3aee37767413cf6b5,character/motion/lobby_action/pl_la_ex_public_chair_gold_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_gold_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_gold_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_gold_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア黒,Photon Chair (Black),chair_blackfull,actor/lobby_action/pl_la_ex_public_chair_black.ice,2ff4dbfa6543133d8c0c464e148adf27,character/motion/lobby_action/pl_la_ex_public_chair_black_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_black_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_black_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_black_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア・ラッピー,Photon Chair (Rappy),chair_rappy,actor/lobby_action/pl_la_ex_public_chair_rappy.ice,aae360f9a7d5202710fc27ddcace5dcf,character/motion/lobby_action/pl_la_ex_public_chair_rappy_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_rappy_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_rappy_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_rappy_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
挨拶,Greet,greet,actor/lobby_action/pl_la_000_hello_m.ice,54f883b0a61bef183a1f28f01ac34dba,character/motion/lobby_action/pl_la_000_hello_m_std.ice,50\3b262d611d00d33c1f1b4a6b999f6f,character/motion/lobby_action/pl_la_000_hello_m_cam.ice,c9\9376374e5ad8a70060cd00046a242c,character/motion/lobby_action/pl_la_000_hello_m_caf.ice,df\8dff267e4291864e945edcb5ff6855,character/motion/lobby_action/pl_la_000_hello_m_base.ice,db\e28cde6694e2c2f8cc6cbf661fda04,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
挨拶,Greet,,actor/lobby_action/pl_la_000_hello_f.ice,697c92b3f166c93c1035b0998069867f,character/motion/lobby_action/pl_la_000_hello_f_std.ice,36\5793dbf39aed3374c16d68a40e8f08,character/motion/lobby_action/pl_la_000_hello_f_cam.ice,01\2266c2b7e8b8fc8b2a8d66761b51d4,character/motion/lobby_action/pl_la_000_hello_f_caf.ice,0a\283030ad9077ce3c4e0dace9e324a6,character/motion/lobby_action/pl_la_000_hello_f_base.ice,87\004e11f52dc23a61c74815320239b0,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
手を振る,Wave,wave,actor/lobby_action/pl_la_001_wave_m.ice,e302003c25f70d56f01cab2a10398e2b,character/motion/lobby_action/pl_la_001_wave_m_std.ice,da\10ed7f4d69ac5944c76f03a42e3dea,character/motion/lobby_action/pl_la_001_wave_m_cam.ice,a4\fa24db3061c00169fb72509fcfdf66,character/motion/lobby_action/pl_la_001_wave_m_caf.ice,58\2ce56d8c317b3c6541b519d12920de,character/motion/lobby_action/pl_la_001_wave_m_base.ice,18\a31baf0986f1b1eca87833c8d4a9fc,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
手を振る,Wave,,actor/lobby_action/pl_la_001_wave_f.ice,480bfcfe59403260f91b25aea3e3ebbf,character/motion/lobby_action/pl_la_001_wave_f_std.ice,85\86f3da74d3d8cf05ec01a979e6661f,character/motion/lobby_action/pl_la_001_wave_f_cam.ice,3f\cb377264cdf8396285816895f4ceb9,character/motion/lobby_action/pl_la_001_wave_f_caf.ice,49\8a870d12faf2500afd65c4eaf9ede5,character/motion/lobby_action/pl_la_001_wave_f_base.ice,e1\f9de35e3a292bdc60cdf91ec3edd33,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
礼,Bow,bow,actor/lobby_action/pl_la_002_bow_m.ice,c1855355a5ea8653c57536ee464b6fe5,character/motion/lobby_action/pl_la_002_bow_m_std.ice,1c\b6cb8d55f8554fee9201f8d8dc61be,character/motion/lobby_action/pl_la_002_bow_m_cam.ice,70\c5ed5e726aa0a6ab5cad1c7a2fd1f0,character/motion/lobby_action/pl_la_002_bow_m_caf.ice,d8\565bf9d321500bf2729ef894557e94,character/motion/lobby_action/pl_la_002_bow_m_base.ice,72\2fb4634e91f504280967116ff436d1,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
礼,Bow,,actor/lobby_action/pl_la_002_bow_f.ice,596aba20ba3b4cebc8af0ac91b7ad03f,character/motion/lobby_action/pl_la_002_bow_f_std.ice,af\0d0d330f975d81216000ae9a6497bd,character/motion/lobby_action/pl_la_002_bow_f_cam.ice,b1\b3ccc3328147ca013ce1285a81b874,character/motion/lobby_action/pl_la_002_bow_f_caf.ice,9e\1925b758841e0eac6bf34af63e42c9,character/motion/lobby_action/pl_la_002_bow_f_base.ice,03\198c3af146fcc6cf2f1d407381d40d,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
敬礼,Salute,salute,actor/lobby_action/pl_la_003_salute_m.ice,2bb4c594f132d9b06c318ac51ae7a217,character/motion/lobby_action/pl_la_003_salute_m_std.ice,ff\c65e8804d62ba94bf0e88d3627d8af,character/motion/lobby_action/pl_la_003_salute_m_cam.ice,ef\0fa0de20ebb33500acf5e268702584,character/motion/lobby_action/pl_la_003_salute_m_caf.ice,8e\321d0d396e9c9957c0e1a97e7faf61,character/motion/lobby_action/pl_la_003_salute_m_base.ice,8d\e3226edd09228c7a1b92e0fed5662e,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
敬礼,Salute,,actor/lobby_action/pl_la_003_salute_f.ice,a943fd671d68aac103860d9fcc256372,character/motion/lobby_action/pl_la_003_salute_f_std.ice,ef\858d02f77a3346476cbd9f651fc407,character/motion/lobby_action/pl_la_003_salute_f_cam.ice,3f\087481b01b33fe8a776a1648574c26,character/motion/lobby_action/pl_la_003_salute_f_caf.ice,d2\7be1e02f5c8922cbd56dec3d315f86,character/motion/lobby_action/pl_la_003_salute_f_base.ice,41\7f019c9d23a3264475312b70232819,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
肯定,Confirm,yes,actor/lobby_action/pl_la_004_yes_m.ice,a2374bbaa30dcd3dea7ddbe6082c57a6,character/motion/lobby_action/pl_la_004_yes_m_std.ice,f8\23d1dccdb73f8e6ca4d60a6ed562ff,character/motion/lobby_action/pl_la_004_yes_m_cam.ice,08\d8ff43efa9f1a12450c5ed47c25d5d,character/motion/lobby_action/pl_la_004_yes_m_caf.ice,f0\0796e16bca6d33836bec4194227273,character/motion/lobby_action/pl_la_004_yes_m_base.ice,2d\012f981fb9b3d47c6d3d67cf95398c,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
肯定,Confirm,,actor/lobby_action/pl_la_004_yes_f.ice,b0999fda1d9abf3a69c9ca9cfc9c438b,character/motion/lobby_action/pl_la_004_yes_f_std.ice,a6\375a9ec7ced884406dee2a9aaa486d,character/motion/lobby_action/pl_la_004_yes_f_cam.ice,eb\76c4eb71f6975023123ee3a46eba1e,character/motion/lobby_action/pl_la_004_yes_f_caf.ice,6b\4d59f356035204c0ee11d56c0708aa,character/motion/lobby_action/pl_la_004_yes_f_base.ice,46\ada23ab2bd3512eaaff2618572cd0f,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
否定,Deny,no,actor/lobby_action/pl_la_005_no_m.ice,edc008e6489dca93df5abf6570851d06,character/motion/lobby_action/pl_la_005_no_m_std.ice,0d\60dbf94774118b9ee5615f1e0267af,character/motion/lobby_action/pl_la_005_no_m_cam.ice,f0\1db7307c18f2f91aaba8855afcc81b,character/motion/lobby_action/pl_la_005_no_m_caf.ice,df\9f38948d3e190933d3a111a9863ca9,character/motion/lobby_action/pl_la_005_no_m_base.ice,24\de3497ec0bab2f6d80dbba3defcc11,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
否定,Deny,,actor/lobby_action/pl_la_005_no_f.ice,70cd85b9885f57203061186c86ca5167,character/motion/lobby_action/pl_la_005_no_f_std.ice,04\92fafb3cb003e262ac263e8f6bc8db,character/motion/lobby_action/pl_la_005_no_f_cam.ice,df\4732fc243665a450c47e5bc6775781,character/motion/lobby_action/pl_la_005_no_f_caf.ice,fb\df362e598ba7fbf4a6efde825edf0d,character/motion/lobby_action/pl_la_005_no_f_base.ice,46\a1d182c93dde4b24fd32f1c008a8f7,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
謝る,Apologize,sorry,actor/lobby_action/pl_la_006_sorry_m.ice,a019808e572cd05419bc0b80b23eba70,character/motion/lobby_action/pl_la_006_sorry_m_std.ice,9a\bb5adc725d8b9c0066ae489e74f1b1,character/motion/lobby_action/pl_la_006_sorry_m_cam.ice,cf\9dc53d17d56d9c3c0420ef4d183758,character/motion/lobby_action/pl_la_006_sorry_m_caf.ice,28\8637d0fbdddc31db542d70a6f4ccfc,character/motion/lobby_action/pl_la_006_sorry_m_base.ice,28\361557014cece95ee4949a8817e104,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
謝る,Apologize,,actor/lobby_action/pl_la_006_sorry_f.ice,898d084bba3aafb2926ef9a5585e6e02,character/motion/lobby_action/pl_la_006_sorry_f_std.ice,98\35e40f4e857c00e83f9a28eade84ab,character/motion/lobby_action/pl_la_006_sorry_f_cam.ice,85\6386d6f4aba4b6c078196b534e6c38,character/motion/lobby_action/pl_la_006_sorry_f_caf.ice,a3\c03dd88600e8e8d1996922e5d55570,character/motion/lobby_action/pl_la_006_sorry_f_base.ice,2f\e0cf8fef5caf7aa11694216d49ceae,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
挑発,Provoke,provoke,actor/lobby_action/pl_la_007_provoke_m.ice,2cb299000ceffedaad8ba4fcb9241cd5,character/motion/lobby_action/pl_la_007_provoke_m_std.ice,92\a268048937d936f17c8d6df2b06295,character/motion/lobby_action/pl_la_007_provoke_m_cam.ice,be\e6a182fdc2da238bc11a84c77a1bc6,character/motion/lobby_action/pl_la_007_provoke_m_caf.ice,1c\6068054402430a06b3afe31f750303,character/motion/lobby_action/pl_la_007_provoke_m_base.ice,eb\a1c282712dc2c8d9df3a53bea9f05d,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
挑発,Provoke,,actor/lobby_action/pl_la_007_provoke_f.ice,8123afba179dd34d6145c4bb9943736a,character/motion/lobby_action/pl_la_007_provoke_f_std.ice,3b\8c147751923afbcf58da1e0a2a93e0,character/motion/lobby_action/pl_la_007_provoke_f_cam.ice,d3\cb1964d84181885c87a11cd64898c9,character/motion/lobby_action/pl_la_007_provoke_f_caf.ice,19\4684ac3880a401bf92824eb2eff18e,character/motion/lobby_action/pl_la_007_provoke_f_base.ice,08\78de2b28483f559e64c1e2bea6d194,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
褒める,Praise,praise,actor/lobby_action/pl_la_405_praise_m.ice,cdf6d6c1fcc8da8719298d85d34eebda,character/motion/lobby_action/pl_la_405_praise_m_std.ice,cc\535aea58fae61208efafc97f5af394,character/motion/lobby_action/pl_la_405_praise_m_cam.ice,4f\d5e231302c799fed46f588f39263f1,character/motion/lobby_action/pl_la_405_praise_m_caf.ice,53\45aeb51d7e4b72d26e3089ef944b52,character/motion/lobby_action/pl_la_405_praise_m_base.ice,64\56f3720ac83396e4db04121b2965de,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
褒める,Praise,,actor/lobby_action/pl_la_405_praise_f.ice,1f7110db267349463cd9b65223763e3d,character/motion/lobby_action/pl_la_405_praise_f_std.ice,d0\271fa5997612ac1a5298c746f0c6a7,character/motion/lobby_action/pl_la_405_praise_f_cam.ice,5d\5e2d3b1addbd7e890dd6248172f556,character/motion/lobby_action/pl_la_405_praise_f_caf.ice,88\b6abd043b5e1eef127b624009432e4,character/motion/lobby_action/pl_la_405_praise_f_base.ice,13\a94f34ce7a458d36a3d7e576061e01,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
キス,Kiss,kiss,actor/lobby_action/pl_la_009_kiss_m.ice,7cf6959a8c7e583b309e26db35481f2a,character/motion/lobby_action/pl_la_009_kiss_m_std.ice,ab\12c487c60f484e0632834a7fec8b9c,character/motion/lobby_action/pl_la_009_kiss_m_cam.ice,1e\7111845c37edb2e28e8f93d51934e4,character/motion/lobby_action/pl_la_009_kiss_m_caf.ice,fc\a48a078fdbf444fec604881fb98593,character/motion/lobby_action/pl_la_009_kiss_m_base.ice,51\608b837a89c868eea2aa5f3d708648,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
キス,Kiss,,actor/lobby_action/pl_la_009_kiss_f.ice,7a16e4fe5215a020cf4aca0d3db592c5,character/motion/lobby_action/pl_la_009_kiss_f_std.ice,44\d24c20ebb68d2d98f10d4f4375a6b3,character/motion/lobby_action/pl_la_009_kiss_f_cam.ice,3e\090f1e03a953442cb146d792e344db,character/motion/lobby_action/pl_la_009_kiss_f_caf.ice,53\cad46988b461340f9bf487ace5b66e,character/motion/lobby_action/pl_la_009_kiss_f_base.ice,3a\7c3483c66a9b54fcce87365cbb676f,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
元気？,What's up?,howareyou,actor/lobby_action/pl_la_011_talk_m.ice,1f75b521ea0b136b36d6a67c5d6506c8,character/motion/lobby_action/pl_la_011_talk_m_std.ice,79\62f9a494764b31cea976a8b19f174e,character/motion/lobby_action/pl_la_011_talk_m_cam.ice,5c\1f9db9671cd0e3b8cda4857a655d6f,character/motion/lobby_action/pl_la_011_talk_m_caf.ice,d2\bfc44c2d0b22d577c8e8f1017a5f81,character/motion/lobby_action/pl_la_011_talk_m_base.ice,2b\7d95deb8e1369a4d6af1a2e0440065,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
元気？,What's up?,,actor/lobby_action/pl_la_011_talk_f.ice,89517425a1d3b3a9b91d0c62500e2768,character/motion/lobby_action/pl_la_011_talk_f_std.ice,59\ae5914dd669a7e3ad65502bf7c03a0,character/motion/lobby_action/pl_la_011_talk_f_cam.ice,6e\7539b819fefeda2c65d66f2e3cc6fb,character/motion/lobby_action/pl_la_011_talk_f_caf.ice,9e\c943e9137dda78762e32452f5afb08,character/motion/lobby_action/pl_la_011_talk_f_base.ice,ad\9d6c1fdbe5aad16fbacec60ba5eab4,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
指を指す,Point,you,actor/lobby_action/pl_la_012_you_m.ice,645009b294bd9718612a5f3524243664,character/motion/lobby_action/pl_la_012_you_m_std.ice,db\7fce4cb2458f11f10370ea00a016fb,character/motion/lobby_action/pl_la_012_you_m_cam.ice,cb\6d68205655b6c594d3ca11852b6cf2,character/motion/lobby_action/pl_la_012_you_m_caf.ice,91\ba19b3f3b1ef0a5b63594b7eb50e0d,character/motion/lobby_action/pl_la_012_you_m_base.ice,1e\2063f31844205a5102351a381aab04,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
指を指す,Point,,actor/lobby_action/pl_la_012_you_f.ice,f0c797ad217ea223a4308cfc017ac515,character/motion/lobby_action/pl_la_012_you_f_std.ice,5b\e1e8d09459add924483e6b8418ea34,character/motion/lobby_action/pl_la_012_you_f_cam.ice,e7\d92ca44b57be5b33addf0f496af116,character/motion/lobby_action/pl_la_012_you_f_caf.ice,49\3a9e9438084669b11069c574891a0b,character/motion/lobby_action/pl_la_012_you_f_base.ice,7f\b2584ca7eff38e2013ce057f6f9cdb,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
応援,Cheer on,yell,actor/lobby_action/pl_la_013_aid_m.ice,92941a0295a57f46b147337823ee45da,character/motion/lobby_action/pl_la_013_aid_m_std.ice,72\48a3d93239c6c6d3704f06752be382,character/motion/lobby_action/pl_la_013_aid_m_cam.ice,b7\74567235ce307bc129b70e07111ad9,character/motion/lobby_action/pl_la_013_aid_m_caf.ice,76\47fcdd5b58afe441194c991630dc2a,character/motion/lobby_action/pl_la_013_aid_m_base.ice,cb\55f6219246a483aa19de050f82802e,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
応援,Cheer on,,actor/lobby_action/pl_la_013_aid_f.ice,fb02f90297b9bc664777c5ffa551e731,character/motion/lobby_action/pl_la_013_aid_f_std.ice,08\34d759732101dfbbb2777489a6b1c7,character/motion/lobby_action/pl_la_013_aid_f_cam.ice,b6\3dd5a4dff4c0d3553d63afee5169ca,character/motion/lobby_action/pl_la_013_aid_f_caf.ice,84\2ca730f8a82d68957f18fe4f841f05,character/motion/lobby_action/pl_la_013_aid_f_base.ice,4b\2932b1e13f07fcc4f6259f62dfdf0a,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
気合を入れる,Psyched,guts,actor/lobby_action/pl_la_014_heated_m.ice,af2a300f14ed7bfcbd2eb5def59d25e3,character/motion/lobby_action/pl_la_014_heated_m_std.ice,86\c2db9e54a5efaf4f6b2f49d50f207b,character/motion/lobby_action/pl_la_014_heated_m_cam.ice,c3\08e33b8e172ae433689ddb837d0537,character/motion/lobby_action/pl_la_014_heated_m_caf.ice,36\f512c8be791cf0277954672d818e12,character/motion/lobby_action/pl_la_014_heated_m_base.ice,3f\65b901f5f6423c2e77480c1ab76793,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
気合を入れる,Psyched,,actor/lobby_action/pl_la_014_heated_f.ice,d1c9378db79ba42bb1bf02f9f0091e06,character/motion/lobby_action/pl_la_014_heated_f_std.ice,5e\f3e86a56ceee82587144d53f7692e7,character/motion/lobby_action/pl_la_014_heated_f_cam.ice,06\3e337f33d6b9e79f21a0f9968d7e1d,character/motion/lobby_action/pl_la_014_heated_f_caf.ice,09\8175dd386a6cef866169b45128db89,character/motion/lobby_action/pl_la_014_heated_f_base.ice,55\ff3ee3b90a6b3afc26f9cf7c65b484,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
大笑い,Big Laugh,laugh,actor/lobby_action/pl_la_015_exercise_m.ice,b9d294ae3dbe97a3bd3f63ede5c4a063,character/motion/lobby_action/pl_la_015_exercise_m_std.ice,7c\a001bf020ec0ff5d5769799fc4a667,character/motion/lobby_action/pl_la_015_exercise_m_cam.ice,9b\55dcd6adb8a67c6dfc5ac78eb8e285,character/motion/lobby_action/pl_la_015_exercise_m_caf.ice,e7\e78ed1f58c9365d5ce200ed2348c97,character/motion/lobby_action/pl_la_015_exercise_m_base.ice,9e\0ca51803aad19e4ec2c8de23e5ba2b,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
大笑い,Big Laugh,,actor/lobby_action/pl_la_015_exercise_f.ice,d965a5e1ecfd6d688e5763acbc31bcb0,character/motion/lobby_action/pl_la_015_exercise_f_std.ice,2a\c5e2fe9407c385ea32cd18031f7786,character/motion/lobby_action/pl_la_015_exercise_f_cam.ice,a7\12ea132eb94ff3d0aea75ae1ef5b53,character/motion/lobby_action/pl_la_015_exercise_f_caf.ice,91\d2ce37d2df3d519b0371c8d331c7c4,character/motion/lobby_action/pl_la_015_exercise_f_base.ice,49\7993130f26250dfacf5a8aa7d2dd48,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Female
拍手,Clap,clap,actor/lobby_action/pl_la_008_claphands_m.ice,09e9d51b83e4ccec4ec65e35db4a31ec,character/motion/lobby_action/pl_la_008_claphands_m_std.ice,ff\205a509b89a9b9d0366dcf627818c4,character/motion/lobby_action/pl_la_008_claphands_m_cam.ice,47\6be6ba78839eec4cbc44e66ca4652e,character/motion/lobby_action/pl_la_008_claphands_m_caf.ice,da\bbcb747490de82ef94207c84a90ff7,character/motion/lobby_action/pl_la_008_claphands_m_base.ice,4a\e22f4f3606e3e80fc121330a0b9a38,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,Male
