Japanese Name,English Name,Id,Icon,Normal Quality,High Quality,Bone 1,Bone 2,Bone 3,Bone 4,Bone 5,Bone 6,Bone 7,Bone 8,Bone 9,Bone 10,Bone 11,Bone 12,Bone 13,Bone 14,Bone 15,Bone 16,Effect Name
ウェリントンメガネ,Wellington Glasses,12,2844c72a2c70a94f465ae9782b8afc4e,fd8e7a8052632100921c1ff777562d4d,,eyesroot,,,,,root,,,,,,,,,,,
ラウンドサングラス,Round Sunglasses,13,06a7e7c59d267949d90be4cc5fec0bcd,3b4cfeadfc716af74616d8d59f482c11,,eyesroot,,,,,root,,,,,,,,,,,
[Unnamed 14],,14,1f9e0974a47c01aa0b23ab031bb3253a,1c97ef722694bcebb2e12f9110dc6466,,head,,,,,root,,,,,,,,,,,
[Unnamed 15],,15,ad85a5329e35b741396c80ff872d1134,5102cc95aab3ab3d1b1c065178c62d6b,,nose,,,,,root,,,,,,,,,,,
クルーンハット,Crune Hat,16,c9405fae39767702a4c29e7466cb7ea1,5958aec8c62807a7c4bfecfaabefc2e0,,head,,,,,root,,,,,,,,,,,
楕円メガネ,Elliptical Glasses,17,411cb7fa336fa1187487beec124751cd,2163c5ffd276d74188a976388c74c690,,head2,eyesroot,,,,root,ac_eyesroot,,,,,,,,,,
ナースキャップＢ,Nurse Hat B,18,6c1cc7c3dea4d03d6705d7668977301a,94cedefac76ab846d13fb23809dda0c7,,head,,,,,root,,,,,,,,,,,
ラージラウンドメガネ,Large Round Glasses,19,faea9a2fa02b14ac98c96f6dfadbc965,cc7fbf5c1f40c17e499cab04b708982e,,head2,eyesroot,,,,root,ac_eyesroot,,,,,,,,,,
略帽,Forage Cap,20,b3cd3280407af50ef511de42b90379d8,ae3c8b3dc4091a8e18ef72fe48f2cf01,,head,,,,,root,,,,,,,,,,,
ラウンドサングラス  頭の上,Round Sunglasses on Head,21,e0291c264acf238b281ffdb862bebc39,0fb3619f357b5534addb3c91a60559b0,,head,,,,,root,,,,,,,,,,,
アイディスプレイ,Eye Display,22,4e7980d0b46aafa3d692dcdd55219e6b,c82c0b950200eaedc83e89502f54e415,,eyesroot,,,,,root,,,,,,,,,,,
[Unnamed 23],,23,0060906edf6d8c624d3cb3ab78f13175,a5e722b68d72b747886451d5fba7caac,,head,,,,,root,,,,,,,,,,,
ゴーグル,Goggles,25,9cf69054b2f4e34fb2fc0c734b44b154,eb77988beab97b71be4f2caf87928027,,eyesroot,,,,,root,,,,,,,,,,,
ファッショングラス,Snazzy Glasses,26,f40f0a1a283e22b51d11a0648c4a1615,b346be0962a7a88c44ba8134472a7ad2,,nosebridge,,,,,root,,,,,,,,,,,
キャンディーヘッドギア,Candy Headgear,27,4e628f11b78060c641499b2b936f87be,1bfa8187d1df86b672f8714dc2e1f932,,head,,,,,root,,,,,,,,,,,
ベレー帽,Beret,28,bfc514729b90ecb9c4b02d828e2b770b,a3514e55b8690263a48c184df038731a,,head,,,,,root,,,,,,,,,,,
赤縁メガネ,Red Rim Glasses,29,62f7f49b8e1fb59f0289af84ee2a5f91,b1e188c3d6d22a025ef75a078ce1bb86,,head2,eyesroot,,,,root,ac_eyesroot,,,,,,,,,,
ヘッドギア,Headgear,30,ceb89e8c1984581452ccca03680febba,8ef08766bb0bbba8dd1aaf9382c02f52,,head,,,,,root,,,,,,,,,,,
トーク帽,Toque Hat,31,6ecd5b4ffe29d8b1501525a15a81d36e,72ce950fdeb0c74db8718b6a339e5616,,head,,,,,root,,,,,,,,,,,
背高帽,Tall Hat,32,76ed3d94b39e24d3f49fdfed7c4aec73,3320fa8d7df31c76c0b298f49ac45b70,,head,,,,,root,,,,,,,,,,,
スポーツサングラス,Sports Sunglasses,33,854fb6db0ce8d56cd45152d419a5f716,c1159a902f7387c91fd988d1352e2dbe,,eyesroot,,,,,root,,,,,,,,,,,
プリムヘッドフォン,Prim Headphones,34,48221b0ebc78025395620c8e2a83afc6,61334c073d2a0a5da4f2489c202822c8,,head,head,,,,root,pos_l,,,,,,,,,,
ヘッドアクセサリー,Head Accessory,35,99a9d73fb73a29d3b4167bf15052540b,8206eb1305c3dc4051373704ae4dacd0,,head,head,,,,root,pos_l,,,,,,,,,,
ブリッツガーダー,Blitz Guards,36,2e57cad14e696f3e7ab3cef54bac7235,e075287e2f4ce3dbf20261220b247c3c,,head,head,,,,root,pos_l,,,,,,,,,,
[Unnamed 37],,37,af09d894aebbc4d0818756f6f2e79c73,a3f793b1ce164c7e2b009d5a68ec4007,,neck,head,,,,root,head2,,,,,,,,,,
腕章,Armband,38,d927a2174787d9efffcdd572122efeb2,b903cdd541a4c090f840f8822337362f,,l_upperarm,,,,,root,,,,,,,,,,,
[Unnamed 39],,39,3f807f334b4dc4ed7b392207acb2146b,a6565667b94f8b8f14ee19da9ab607e8,,head2,lear,,,,root,lear2,,,,,,,,,,
ネコ耳,Cat Ears,40,69c4466d5cfc48f0f39835e71ac00158,f533820518c58ac826b44927ce6f7491,,head2,headtop_efhd,headtop_efhd,,,root,pos_l,pos_r,,,,,,,,,
オーガキャッツイヤー,OrgaCats Ears,41,9e1a8968f5fc7a9739ec153c0fc5dd4d,87d8299269b8a32edc84b8848cfb0d52,,head2,headtop_efhd,headtop_efhd,,,root,pos_l,pos_r,,,,,,,,,
[Unnamed 42],,42,b77a745606d91ba2b7c0390bbbab6f15,e44f1a2f39f441e9dd2be2f4a977d8a5,,headtop_efhd,,,,,root,,,,,,,,,,,
[Unnamed 43],,43,a8bd0edf31b121024465bb9b149228c9,46c2b5f0a0501742875d69c50c1ca807,,headtop_efhd,,,,,root,,,,,,,,,,,
きつね耳,Fox Ears,44,2fff28c5e3cc6819f63482b17d8c1c4b,da4428d996bd7083d6715297f3b75372,,head2,headtop_efhd,headtop_efhd,,,root,pos_l,pos_r,,,,,,,,,
たれきつね耳,Droopy Fox Ears,45,fb2f2fcfdf5422f6c966a49f1f5d72ab,90b71db7f03532d31fab61630b94a021,,head2,headtop_efhd,headtop_efhd,,,root,pos_l,pos_r,,,,,,,,,
[Unnamed 46],,46,b81c3a649f1d2d679bf64b0d1f735569,7a85e14192dd4910e1e136a97f3446f3,,headtop_efhd,,,,,root,,,,,,,,,,,
[Unnamed 47],,47,de1ebdd963d264c71c0a805715b78b51,2ea06e488b338da6793a1f381e215b43,,head,,,,,root,,,,,,,,,,,
アイハット,Oculus Hat,60,2822614a51b2f439cef7e309386f6dd7,f502c1d648b02533715c8f819b146346,,head,,,,,root,,,,,,,,,,,
アイハット影,Oculus Hat: Shadow,61,4d3afea0c8f77bfa5d7512734705af2e,ebfaabe067e5d63518f9cb3652405643,,head,,,,,root,,,,,,,,,,,
アイハット鋼,Oculus Hat: Steel,62,2d63619c990a6e445750543756e2b71e,87f7cf4905a4ef98e312712b576d2a50,,head,,,,,root,,,,,,,,,,,
アイハット月,Oculus Hat: Moon,63,44641f763d7240d2506638d18e7bdfab,94cbac1f76946b9af044804799ba7c10,,head,,,,,root,,,,,,,,,,,
アイハット銀,Oculus Hat: Silver,64,e75bb38ad45fe5d734638e49481c040e,76170c7330c8d2928a6c34b64a2843db,,head,,,,,root,,,,,,,,,,,
ムサシハット,Musashi’s Hat,65,a26d7aa2bf36d4a1ad245c49a0b02350,ab0e4714d71bc14a3e43c48e0389983d,,head,,,,,root,,,,,,,,,,,
サイバーグラス,Cyber Glasses,70,933d139791e5620aadc553a09df667c1,f64f2b5d38388af4eaf23be57ca7492c,,eyesroot,,,,,root,,,,,,,,,,,
[Unnamed 71],,71,6933959b3e945d3fbb05bddb6e88ec03,77078696dd02094ee2355663766d89b3,,eyesroot,,,,,root,,,,,,,,,,,
サイバーグラスＢ,Cyber Glasses B,72,f7fbf5e02b6b84072c5b265090ed8665,0a933c5477cf8de3e970fa74060a6c77,,head2,eyesroot,,,,root,ac_eyesroot,,,,,,,,,,
[Unnamed 73],,73,148668d06f45d9d1e383a4a53d0897b7,,,head2,eyesroot,,,,root,ac_eyesroot,,,,,,,,,,
[Unnamed 81],,81,5b86a84a7d4a51fd43e90ae5d5cd7c44,6280b5123e565b6d76ce77c214dd38a2,,head,,,,,root,,,,,,,,,,,
ミコトコサージュ,Mikoto Corsage,82,61c2b6ab440688c8d2a7a83e530958a2,b971df6b608c3749a27b69d77882aed5,,head,head,,,,root,pos_l,,,,,,,,,,
ミコトコサージュＢ,Mikoto Corsage B,83,f0a9371807a9db6a455a025459982fbd,c5608b2acbc51ca99e4ec3dfb3d92727,,head,head,,,,root,pos_l,,,,,,,,,,
命の飾,Mikoto-Matoi Hairclips,84,139a604b76012d448763aaf077ada5c3,dbd47b3c9d41f2ea74fb4c10fbee47f0,,head,head,,,,root,pos_l,,,,,,,,,,
悔恨の【仮面】,[Persona] Repentant,90,5a39915839063c03a020eb6459c27f22,bf274821b85215d1286229171930827a,,head,,,,,root,,,,,,,,,,,
失意の【仮面】,[Persona] Despondent,91,2c89203e0b1405799e8de0cea934cde2,2b03ef6f597643d2f0efc1683c2ae7f0,,head,,,,,root,,,,,,,,,,,
決意の【仮面】,[Persona] Resolute,92,2398ad1323e172571d6a318ad810a764,acf75b7caf2647ea12db6356f94929ac,,head,,,,,root,,,,,,,,,,,
ヘッドギア影,Headgear: Shadow,100,28b6bd00d87036a0d9d179277e3107cf,980868974193266b28af6460c2027083,,head,,,,,root,,,,,,,,,,,
ヘッドギア月,Headgear: Moon,101,e0df287f2b80e84dc46a33f7c6e1a556,decd3983754a215708463cdcdd90c971,,head,,,,,root,,,,,,,,,,,
ヘッドギア紅,Headgear: Ruby,102,32b12d0d76d429479f6f96fb98a58bd3,3e4724f726c441cd1a3c8707e6353445,,head,,,,,root,,,,,,,,,,,
ヘッドギア葉,Headgear: Leaf,103,b727c92beb6afce3dc54f7943f67bc50,76d7a37908bcf3e1b842221116fcb333,,head,,,,,root,,,,,,,,,,,
ウェディングコサージュ,Wedding Corsage,110,cbfc5f20572dd7cd5bf39f93e2bd8647,8655bacf74c4f30aa346425b6dd2cb8b,,head,,,,,root,,,,,,,,,,,
ブラックローズ,Black Rose,111,3a5f5938a44141f91527e06452bea947,d96510ce565aeae358af3b3634a721fa,,head,,,,,root,,,,,,,,,,,
ウェディングコサージュＢ,Wedding Corsage B,112,56ad453af18fcc4a635d22fc00b04760,fd11e828f54b03111efffe2045aaaf64,,head,,,,,root,,,,,,,,,,,
メイドカチューシャ,Maid Hairband,120,c1aeae665cd9032f654bec7c95f9ab25,fcbd7845b8291cbaa8d350e7e0b8e260,,headtop_efhd,,,,,root,,,,,,,,,,,
ベレー帽　月,Beret: Moon,130,e6ac7d63da9bb0b7a4dc6e653cb1fc00,7da95f62d4cacf6d5c392f63a2ea605a,,head,,,,,root,,,,,,,,,,,
ベレー帽　夜,Beret: Night,131,ccc8096ce8cc5ccdca3854c4a149d49a,e03eafbe36322c3ff4603fbd543f675b,,head,,,,,root,,,,,,,,,,,
ベレー帽　葉,Beret: Leaf,132,6c6da60729322764ba21fd0d51211c89,70388445e6a90b3cb31ddd9d569b344b,,head,,,,,root,,,,,,,,,,,
ベレー帽　陽,Beret: Sun,133,e9381133d690b93e0cd7fe0794facc87,ae4d56c13aab444e327cd2d050d06a68,,head,,,,,root,,,,,,,,,,,
ファームイヤーマフ影,Firm Earmuffs: Shadow,170,756623b135854bf531c1da87e2823429,969fe35da95b4fe17cf67ac56d4e450a,,head,head,,,,root,pos_l,,,,,,,,,,
ファームイヤーマフ陽,Firm Earmuffs: Sun,171,c8d0c33ac73e9d8576f5694bb16f449d,2a1a4e144d0ed8237eebb7fe0fdb7d17,,head,head,,,,root,pos_l,,,,,,,,,,
ファームイヤーマフ栗,Firm Earmuffs: Hazel,172,a44da193f0ba1756270233c488d2b0ff,7f9730221d94d56f5fbf1759e86ac573,,head,head,,,,root,pos_l,,,,,,,,,,
[Unnamed 200],,200,f42cf28beffb48d9bc581617711300b1,22816ef0d53535a45da1d43906bd0911,,l_forearm_tw,l_hand,r_forearm_tw,r_hand,,root,l_hand,r_forearm_tw,r_hand,,,,,,,,
[Unnamed 201],,201,b08da7c2ef4b6731498ae66a1b00dc96,1bda7580a4aa43e2f46020c609bc928f,,r_thigh,r_thigh_tw,r_calf,r_knee,,root,r_thigh_tw,r_calf,r_knee,,,,,,,,
[Unnamed 202],,202,bc5797febc61ac3e23a17e119f28c285,1c3e60fd137fdbf9dd241c0998f0ee8d,,l_thigh,l_thigh_tw,l_calf,l_knee,,root,l_thigh_tw,l_calf,l_knee,,,,,,,,
フリューヘッド,Furieux Hood,210,881e7c28df1623fcc3be6d352c653ee4,b1cc795a0545e5e9344fade9e291a766,,head,,,,,root,,,,,,,,,,,
フリューヘッド栗,Furieux Hood: Hazel,211,3cc34f0c5db147b4666d12bb3cdf3cf5,8b78b6330fd6515fda1e7936df45b8ea,,head,,,,,root,,,,,,,,,,,
フリューヘッド影,Furieux Hood: Shadow,212,2f37438c203c0d5081a8e9a48f3cca9f,31bf3242435232e7b489eb5e41c84b88,,head,,,,,root,,,,,,,,,,,
フリューヘッド紅,Furieux Hood: Ruby,213,a36343be9f9e4039cd79bff4041d1f79,461fa85026112d17705b4e15a17033b2,,head,,,,,root,,,,,,,,,,,
背高帽　桜,Tall Hat: Sakura,220,4455c8f9c4d1f786c5c15836251afb0f,5283c8b907e2534638c2eba711b4b7fe,,head,,,,,root,,,,,,,,,,,
背高帽　葉,Tall Hat: Leaf,221,8c1615aa557fcfac76f911578ed34aee,1e6aebc427e7f3dc8c640473c1f7767f,,head,,,,,root,,,,,,,,,,,
背高帽　海,Tall Hat: Sea,222,8e6f3475f856251a495bfd557b8b0886,bec4112d1408ea2be6e06e5d3039627d,,head,,,,,root,,,,,,,,,,,
背高帽　陽,Tall Hat: Sun,223,274477a5ddb4977b3445a489ffc7c2f2,f708bb699db0392d0fe35ba0f8493dee,,head,,,,,root,,,,,,,,,,,
ハロウィンヘッド,Pumpkin Head,230,e9fbd90bd21e9683fa1035a4c422c9d5,4f5a5d1074072e494b68ffaee10fdfa4,,head,,,,,root,,,,,,,,,,,
ジャックヘッド,Jack Head,231,ef011e5b7192be1586b84e96ac488312,c9c203ce6c8fe339f79cd0538a95e799,,head,,,,,root,,,,,,,,,,,
ハロウィンハット,Spooky Hat,240,52de5c1601cd9f58402efa92a650c5a7,7b706f27e9428d1bb404e49e0e77eeb1,,head,,,,,root,,,,,,,,,,,
ジャックハット,Jack Hat,241,f2c0636e9b6a7079ae52d194182d8a18,fe59590a81036f62a522f15b45e3d39e,,head,,,,,root,,,,,,,,,,,
ハイビスカス,Hibiscus,250,934ddba9fa199a58d88fb9146ec764b2,e54875478299a20038f2dbfc87b00217,,head,,,,,root,,,,,,,,,,,
クールハイビスカス,Cool Hibiscus,251,ce50be7dc7526585f71ea68b3f89cb7d,b077add31c19b28fafb0693bdfb5ca8a,,head,,,,,root,,,,,,,,,,,
アルフマスク,Alph Mask,260,1571447d62d13e8ba4c4a5526e0f20e2,5c40ea6806c304fafb0f0be295285283,,head,,,,,root,,,,,,,,,,,
アルフマスク雅,Alph Mask: Grace,261,02ba80e064bb2b949d19867cdcef68a0,46eedb7d636044872059ada10944b161,,head,,,,,root,,,,,,,,,,,
アルフマスク空,Alph Mask: Sky,262,61200b3636e638236a89026d4131a33b,e73213e2dd3d30c9da6a3f95c0a664a6,,head,,,,,root,,,,,,,,,,,
アルフマスク桜,Alph Mask: Sakura,263,7f2eea87b99d40b51224353c39818a03,a8631e6a66d10984cc1af932c62a78ba,,head,,,,,root,,,,,,,,,,,
アルフマスク陽,Alph Mask: Sun,264,b601c1cf578070623997e38ea87b9dc9,2c917e303e96087e6a9aec7e31de1f7b,,head,,,,,root,,,,,,,,,,,
ふわふわ毛　小,Fluffy Hair (S),270,2eab9863f76c5a4043ca8beeae380a4b,8b9115604cb9bd4d9886b73b89b240d5,,headtop_efhd,,,,,root,,,,,,,,,,,
ふわふわ毛　中,Fluffy Hair (M),271,1dc69ceb88163fff8162b02cbe336ba2,bcfeb0a037e5e8559990a434828320cb,,headtop_efhd,,,,,root,,,,,,,,,,,
ふわふわ毛　大,Fluffy Hair (L),272,0e310107f85e3ca62883a0df90aec5af,a8671806718312a62ecff1e03ba10f9f,,headtop_efhd,,,,,root,,,,,,,,,,,
クルーンハット影,Crune Hat: Shadow,280,4a5fbac428166a1910d1ccd7ae56b520,bd23290692c2707646d6a0a4766793d5,,head,,,,,root,,,,,,,,,,,
クルーンハット銀,Crune Hat: Silver,281,f42a7ee571b50e545c26eab902c4f6c3,9197a5a2ca4f0f3ea8413044662a3b47,,head,,,,,root,,,,,,,,,,,
クルーンハット雅,Crune Hat: Grace,282,faecc30f1ae19e0eb915070fa6bde42f,d999d1c4f5794c72a99cf97006ae3e41,,head,,,,,root,,,,,,,,,,,
クルーンハット月,Crune Hat: Moon,283,ffaad9a9b0e90c5dc38f863b5eba41d8,fb79f4cf9af28a20f02bc070acff031b,,head,,,,,root,,,,,,,,,,,
ウィオラキャップ夜,Viola Cap: Night,290,83bec64d8f9a8797daa30b81ba21299b,2be0933e1650cb79cea49421f61d5e8a,,head,,,,,root,,,,,,,,,,,
ウィオラキャップ紅,Viola Cap: Ruby,291,fcd793db43b620a3d565300bb31a477a,8c6b29d7f1c0e844ea4444bace804bea,,head,,,,,root,,,,,,,,,,,
ウィオラキャップ鋼,Viola Cap: Steel,292,cba4d6abc0df27ec8aeb105f78de01f2,9f34c9e137d1324963413075007ccd8e,,head,,,,,root,,,,,,,,,,,
ウィオラキャップ影,Viola Cap: Shadow,293,00db94d5332bc0e6b2af71dfe9a88087,f76593d91412628bdc64c75eaab16313,,head,,,,,root,,,,,,,,,,,
ウィオラキャップ玄,Viola Cap: Enigma,294,f6a78a03029ae54d3066e2350ae4b32c,010b4b7148adb81deb37bd0f4d9bc006,,head,,,,,root,,,,,,,,,,,
サンタ帽,Santa Hat,300,8e69c3b68fa2256ed25921bb0855f321,42fcf09c48b0430b371f377f68ca9743,,headtop_efhd,,,,,root,,,,,,,,,,,
ひげ付サンタ帽,Santa Hat with Beard,301,dc04a4e31f2cf7d38a5b0d9e8ad14b32,223a7860381d66e0c6ac8b451a4a81a7,,head,,,,,root,,,,,,,,,,,
黒ぶちサンタ帽,Black Trim Santa Hat,302,be8cd97870dd68fb74b7c519c867ddaf,fbfb60c32dba7f10051e09d3a3e12a22,,headtop_efhd,,,,,root,,,,,,,,,,,
黒ぶちひげ付サンタ帽,Black Trim Santa Hat & Beard,303,9aef1f20aac36b89363c9ae3dde3240a,ded4b896b86d57f07c82b720b4dbe000,,head,,,,,root,,,,,,,,,,,
アークス士官帽Ａ,ARKS Officer Hat A,310,b39dc058a4cf0a29ff5213616eab85a2,ba46966e87f98b1e746e624ffc139cf9,,head,,,,,root,,,,,,,,,,,
アークス士官帽Ｃ,ARKS Officer Hat C,311,a711a7a251ca7adfdbe7471dc98a55c6,b6206402527ab198ab84a824c6174a06,,head,,,,,root,,,,,,,,,,,
アークス士官帽Ｅ,ARKS Officer Hat E,312,00073b0074d0853ee4fa7f9ebf7b70a2,ab8085f8b39817ccd73119398135a3ba,,head2,headtop_efhd,,,,root,ac_headtop,,,,,,,,,,
アークス士官帽Ｂ,ARKS Officer Hat B,320,1de178b3c27800acfff116082bb231f4,0a1cf4fc7de439f57c9cc3b81bbf6f45,,head,,,,,root,,,,,,,,,,,
アークス士官帽Ｄ,ARKS Officer Hat D,321,4cf7d1b8be86173f15229e2028f9f66e,3a35806c04a0ac4b716b253df5cb47bc,,head,,,,,root,,,,,,,,,,,
アークス士官帽Ｆ,ARKS Officer Hat F,322,0b88606b8a9f84b7e6c11b109e9d119d,4026ab5b1c84f89663825c506b128227,,head2,headtop_efhd,,,,root,ac_headtop,,,,,,,,,,
ブリンクバイザー,Blink Visor,330,5e125f9d3cc21d46d35d4745aa057f8a,67045460ab4d856c265636bbf78b30a8,,head,,,,,root,,,,,,,,,,,
レッドブリンクバイザー,Blink Visor: Red,331,16d8350833466f79b3b4eb27ea45b27f,dfc7c82515cdce81e632f1a4a36f14ff,,head,,,,,root,,,,,,,,,,,
ブラックブリンクバイザー,Blink Visor: Black,332,3165712544e4c954b15a92eb7f715a7c,0390c704c05493d0c0647ddfdd3dd435,,head,,,,,root,,,,,,,,,,,
[Unnamed 340],,340,e3df6e9f962a405b7ee9220bdb9fe88f,aae2cb07ae7e7dd13782e110423bdccb,,head,,,,,root,,,,,,,,,,,
[Unnamed 341],,341,a3065f95f633fb470999511f01d06278,e7ad8ff4a9792aafe5842610824b3fcc,,head2,,,,,root,,,,,,,,,,,
【若人】バイザー,[Apprentice] Visor,342,8e3da7cc6f58a3592f8ea4350c8eb0ac,115538ba75ec84f0d35c365252ff3b4e,,head2,headtop_efhd,headtop_efhd,,,root,pos_l,pos_r,,,,,,,,,
【若人】バイザーＢ,[Apprentice] Visor B,343,358e87f0abe7ba78cc25ef617ffe10d7,1742227ae05766ecfe6ed1a9e3901a17,,head2,headtop_efhd,headtop_efhd,,,root,pos_l,pos_r,,,,,,,,,
キャンディーヘッドギア雪,Candy Headgear: Snow,350,fcfd2dee7be686e1fd09c1d6f7b6db46,c3ed558b9dab8e26f7fa632f7dcb50b8,,head,,,,,root,,,,,,,,,,,
キャンディーヘッドギア桜,Candy Headgear: Sakura,351,4b809d3f3f6a1663018fbb04066e8767,b19d7fb5d0e82fe1a8dda045668e3d36,,head,,,,,root,,,,,,,,,,,
キャンディーヘッドギア影,Candy Headgear: Shadow,352,1b3cf5c03c025233b9d349345e8740f8,34c25364fb36f227b6f6887d28d04525,,head,,,,,root,,,,,,,,,,,
キャンディーヘッドギア玄,Candy Headgear: Enigma,353,398851a1f66e4c97a412379f162a7c0c,c5a56083dcf87748727e6dc769d8b85d,,head,,,,,root,,,,,,,,,,,
ヘイズハット紅,Haze Hat: Ruby,360,f458bac9d76ae25efd35b4f2e99e5588,de4633717627259690b88bea21a8824f,,head,,,,,root,,,,,,,,,,,
ヘイズハット夜,Haze Hat: Night,361,44f38811795970022c7cae51278ff028,09c08e2c95790a456b39a72770453d13,,head,,,,,root,,,,,,,,,,,
ヘイズハット影,Haze Hat: Shadow,362,f2c7681bd9fdad36842b8782fcb8d002,d6c7e61d31a04aeda817afd91ac797d2,,head,,,,,root,,,,,,,,,,,
ヘイズハット鋼,Haze Hat: Steel,363,ca3c236c3e644be85115f5c82771a43f,64b0cf23d296392567a5414e05f7ca06,,head,,,,,root,,,,,,,,,,,
ブリッツガーダー空,Blitz Guards: Sky,370,3a0518b85035e4427f9ea482a6fe09c7,96059de215e394a5b05d9e43c856a33b,,head,head,,,,root,pos_l,,,,,,,,,,
ブリッツガーダー陽,Blitz Guards: Sun,371,0dafe4c4944c755633bbe0b53c2654f9,3572bffd96fdf7af50576e57909b6564,,head,head,,,,root,pos_l,,,,,,,,,,
ブリッツガーダー紅,Blitz Guards: Ruby,372,6165e8f02a6678c240528b91bd05ee5b,7194227ceae857add8f6d06063fa27a4,,head,head,,,,root,pos_l,,,,,,,,,,
[Unnamed 373],,373,389133a2122a3870ac4f5179b81f2f27,769df89549334443e23689f413b8397c,,head,head,,,,root,pos_l,,,,,,,,,,
プリムヘッドフォン銀,Prim Headphones: Silver,380,8a6a9fd76f84dfbb2b9de56fbb364288,fd1f7fa789379d1c32d6157214fd20de,,head,head,,,,root,pos_l,,,,,,,,,,
プリムヘッドフォン鋼,Prim Headphones: Steel,381,7904f977fcf301773179836caf0cfc89,e63e554276542014ae5b5d7c1940ba41,,head,head,,,,root,pos_l,,,,,,,,,,
プリムヘッドフォン影,Prim Headphones: Shadow,382,6ef8301b3527605d880efaddd5089cbd,25585457e769649f7a7f8a805c94a787,,head,head,,,,root,pos_l,,,,,,,,,,
[Unnamed 383],,383,f5433b115a4cda8e5f7c486ce7f1c337,91897c457ceb92d24af13f9dd7b13a06,,head,head,,,,root,pos_l,,,,,,,,,,
Ｎシュヴァンツセンサー,Nono Schwantz Sensors,390,9db6d781de2bc6a66d87c9fca65f4931,9b893003f324d6f8db20cb12f7820c01,,head,head,,,,root,pos_l,,,,,,,,,,
ＮシュヴァンツセンサーＣＶ,Nono Schwantz Sensors CV,391,2d156d3104e9618c2390c69a3e004536,c59df99f645967199f23b7879f0fa66d,,head,head,,,,root,pos_l,,,,,,,,,,
ゼルシウスヘッドギア,Zelsius Headgear,400,807b51ff081febc149f601281ddc0456,c33b3e4731defb50d48001882b478043,,head,,,,,root,,,,,,,,,,,
ゼルシウスヘッドギア雪,Zelsius Headgear: Snow,401,c63287e36c774915b5949534d9921639,549259a1c2396eb255542865a955ac40,,head,,,,,root,,,,,,,,,,,
ゼルシウスヘッドギア紅,Zelsius Headgear: Ruby,402,f60ed7568c05014300ba84e695c37717,4c2ad042d907c52e1c913cf6237c9178,,head,,,,,root,,,,,,,,,,,
ゼルシウスヘッドギア海,Zelsius Headgear: Sea,403,685e6c3a5db368ae4de8941acb589770,002f67ad1166d7a5984d3d595d2ce1e7,,head,,,,,root,,,,,,,,,,,
ゼルシウスヘッドギア７１１,,404,04258e57a15e8bef0402aa3c0cc3ca08,75876e744ebc0609c2d873059da932fd,,head,,,,,root,,,,,,,,,,,
ミラセリアヘッドギア,Miraseria Headgear,410,cadb93c1df97bdf18dce3176bd36b703,56edb40924d44b2bafd889701c44024d,,head,,,,,root,,,,,,,,,,,
ミラセリアヘッドギア７１１,,411,fcaddd0bccf70f7ef61a550b904d5f7c,22cfc64c5adb481050a079fcb0d4a218,,head,,,,,root,,,,,,,,,,,
